Date,Close
2020-06-01,38.91630554199219
2020-06-02,39.48091506958008
2020-06-03,40.34442901611328
2020-06-04,40.0787353515625
2020-06-05,40.900733947753906
2020-06-08,41.365699768066406
2020-06-09,40.91733932495117
2020-06-10,40.892433166503906
2020-06-11,38.675514221191406
2020-06-12,39.406185150146484
2020-06-15,39.45600891113281
2020-06-16,39.91266632080078
2020-06-17,40.070430755615234
2020-06-18,39.91266632080078
2020-06-19,39.76321792602539
2020-06-22,40.25904846191406
2020-06-23,40.517818450927734
2020-06-24,39.649696350097656
2020-06-25,40.075408935546875
2020-06-26,39.51613998413086
2020-06-29,39.833335876464844
2020-06-30,39.74151611328125
2020-07-01,39.94184494018555
2020-07-02,40.55120849609375
2020-07-06,41.44435501098633
2020-07-07,40.85169982910156
2020-07-08,41.369232177734375
2020-07-09,41.068748474121094
2020-07-10,41.27742004394531
2020-07-13,41.01865005493164
2020-07-14,41.46940231323242
2020-07-15,41.87007522583008
2020-07-16,41.502803802490234
2020-07-17,41.686439514160156
2020-07-20,42.011985778808594
2020-07-21,42.229007720947266
2020-07-22,42.229007720947266
2020-07-23,41.89512252807617
2020-07-24,41.73652267456055
2020-07-27,42.30413818359375
2020-07-28,42.045372009277344
2020-07-29,42.537864685058594
2020-07-30,41.99528503417969
2020-07-31,41.302467346191406
2020-08-03,41.920169830322266
2020-08-04,42.23735809326172
2020-08-05,42.52116394042969
2020-08-06,42.604637145996094
2020-08-07,42.212310791015625
2020-08-10,42.3375244140625
2020-08-11,42.43769073486328
2020-08-12,43.24738311767578
2020-08-13,43.02200698852539
2020-08-14,42.846717834472656
2020-08-17,43.23068618774414
2020-08-18,43.23904037475586
2020-08-19,42.94688034057617
2020-08-20,42.83000946044922
2020-08-21,42.71315002441406
2020-08-24,43.23904037475586
2020-08-25,43.38094711303711
2020-08-26,43.61466598510742
2020-08-27,43.23904037475586
2020-08-28,43.61466598510742
2020-08-31,43.122169494628906
2020-09-01,43.38094711303711
2020-09-02,43.764915466308594
2020-09-03,42.838356018066406
2020-09-04,42.88844299316406
2020-09-08,42.279090881347656
2020-09-09,42.99695587158203
2020-09-10,42.4710807800293
2020-09-11,42.863407135009766
2020-09-14,43.23904037475586
2020-09-15,43.58127975463867
2020-09-16,43.50615310668945
2020-09-17,43.48944854736328
2020-09-18,43.163902282714844
2020-09-21,42.30009460449219
2020-09-22,42.22446060180664
2020-09-23,41.77070999145508
2020-09-24,41.67827606201172
2020-09-25,41.829524993896484
2020-09-28,42.40092468261719
2020-09-29,42.36731719970703
2020-09-30,42.39252471923828
2020-10-01,42.70342254638672
2020-10-02,42.510169982910156
2020-10-05,43.15719223022461
2020-10-06,42.804264068603516
2020-10-07,43.24961471557617
2020-10-08,43.56052017211914
2020-10-09,43.85462188720703
2020-10-12,44.11511993408203
2020-10-13,43.745384216308594
2020-10-14,43.602542877197266
2020-10-15,43.16558837890625
2020-10-16,43.32524108886719
2020-10-19,43.18239212036133
2020-10-20,43.46809768676758
2020-10-21,43.35886001586914
2020-10-22,43.37565994262695
2020-10-23,43.63615417480469
2020-10-26,42.89670181274414
2020-10-27,42.737037658691406
2020-10-28,41.56064987182617
2020-10-29,41.81272888183594
2020-10-30,41.51862335205078
2020-11-02,42.048004150390625
2020-11-03,42.812660217285156
2020-11-04,43.526920318603516
2020-11-05,44.51005172729492
2020-11-06,44.6360969543457
2020-11-09,45.56881332397461
2020-11-10,45.74527359008789
2020-11-11,46.081390380859375
2020-11-12,45.48478317260742
2020-11-13,46.14860916137695
2020-11-16,46.70320510864258
2020-11-17,46.66118240356445
2020-11-18,46.467926025390625
2020-11-19,46.694801330566406
2020-11-20,46.87966537475586
2020-11-23,46.91328430175781
2020-11-24,47.62752151489258
2020-11-25,47.47627258300781
2020-11-27,47.837589263916016
2020-11-30,46.75362014770508
2020-12-01,47.778770446777344
2020-12-02,47.82917785644531
2020-12-03,48.08127975463867
2020-12-04,48.50981903076172
2020-12-07,48.266136169433594
