Date,Close
2022-12-28,99.76154327392578
2022-12-29,99.77650451660156
2022-12-30,99.83135223388672
2023-01-03,99.8413314819336
2023-01-04,99.85628509521484
2023-01-05,99.8812255859375
2023-01-06,99.89119720458984
2023-01-09,99.89119720458984
2023-01-10,99.92610168457031
2023-01-11,99.9410629272461
2023-01-12,100.01087188720703
2023-01-13,100.02084350585938
2023-01-17,100.02084350585938
2023-01-18,100.04078674316406
2023-01-19,100.05076599121094
2023-01-20,100.06572723388672
2023-01-23,100.09564208984375
2023-01-24,100.07569885253906
2023-01-25,100.13055419921875
2023-01-26,100.13055419921875
2023-01-27,100.15049743652344
2023-01-30,100.18041229248047
2023-01-31,100.18041229248047
2023-02-01,100.22030639648438
2023-02-02,100.26519012451172
2023-02-03,100.26519012451172
2023-02-06,100.2801513671875
2023-02-07,100.26519012451172
2023-02-08,100.26020050048828
2023-02-09,100.27516174316406
2023-02-10,100.27017211914062
2023-02-13,100.35295104980469
2023-02-14,100.344970703125
2023-02-15,100.37489318847656
2023-02-16,100.4197769165039
2023-02-17,100.42974090576172
2023-02-21,100.45467376708984
2023-02-22,100.46963500976562
2023-02-23,100.4845962524414
2023-02-24,100.52947998046875
2023-02-27,100.52449035644531
2023-02-28,100.5195083618164
2023-03-01,100.50952911376953
2023-03-02,100.52947998046875
2023-03-03,100.54444122314453
2023-03-06,100.54942321777344
2023-03-07,100.56936645507812
2023-03-08,100.52947998046875
2023-03-09,100.58433532714844
2023-03-10,100.5972900390625
2023-03-13,100.71896362304688
2023-03-14,100.72296142578125
2023-03-15,100.75885772705078
2023-03-16,100.74888610839844
2023-03-17,100.77381896972656
2023-03-20,100.79875183105469
2023-03-21,100.81371307373047
2023-03-22,100.81869506835938
2023-03-23,100.86357879638672
2023-03-24,100.8835220336914
2023-03-27,100.89848327636719
2023-03-28,100.91344451904297
2023-03-29,100.89848327636719
2023-03-30,100.94834899902344
2023-03-31,100.94834899902344
2023-04-03,100.95832824707031
2023-04-04,100.98824310302734
2023-04-05,101.02813720703125
2023-04-06,101.0381088256836
2023-04-10,101.05306243896484
2023-04-11,101.072021484375
