Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,APP,ARM,ASML,AVGO,AXON,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DXCM,EA,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDLZ,MELI,META,MNST,MRVL,MSFT,MSTR,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PLTR,PYPL,QCOM,REGN,ROP,ROST,SBUX,SNPS,TEAM,TMUS,TSLA,TTD,TTWO,TXN,VRSK,VRTX,WBD,WDAY,XEL,ZS
2020-06-01,77.83891296386719,,389.67999267578125,101.45623779296875,126.85964965820312,219.2899932861328,68.97791290283203,52.8091926574707,53.630001068115234,187.4316864013672,123.552001953125,,,309.62628173828125,25.279088973999023,89.75,96.64459228515625,301.45001220703125,65.43914031982422,13.903299331665039,32.40272521972656,91.68000030517578,103.09629821777344,,541.2999877929688,31.2237548828125,281.8526611328125,22.420000076293945,23.709999084472656,38.71186828613281,65.69200134277344,21.747976303100586,58.85224914550781,47.74936294555664,,69.48999786376953,94.67500305175781,,22.15738296508789,34.115386962890625,17.38956069946289,28.950000762939453,,,59.43534851074219,70.91928100585938,71.06724548339844,127.42296600341797,312.19000244140625,55.14467239379883,277.4168701171875,191.52999877929688,24.260404586791992,22.40181541442871,16.476259231567383,187.3616180419922,25.34447479248047,308.69000244140625,91.10492706298828,42.29422378540039,44.550045013427734,844.0800170898438,229.89120483398438,18.147499084472656,32.163291931152344,173.4522247314453,12.260000228881836,45.1878547668457,42.59199905395508,8.761645317077637,89.31157684326172,81.48088836669922,16.780000686645508,27.84000015258789,39.71833419799805,59.4566764831543,39.52494812011719,65.76000213623047,108.21095275878906,,152.82569885253906,69.27423858642578,593.8658447265625,373.1921081542969,91.3733901977539,68.03850555419922,182.60000610351562,188.32000732421875,94.79540252685547,59.87333297729492,31.0310001373291,136.22000122070312,99.15869140625,162.4529571533203,286.6400146484375,21.950000762939453,177.9600067138672,54.2075080871582,109.9800033569336
2020-06-02,78.19925689697266,,390.44000244140625,105.07261657714844,129.2129364013672,219.08999633789062,68.84980010986328,52.90401840209961,53.540000915527344,184.79672241210938,123.62049865722656,,,317.20745849609375,25.98257064819336,97.8499984741211,95.87367248535156,302.8599853515625,64.8230209350586,14.567390441894531,32.35287094116211,92.37999725341797,104.34915924072266,,545.219970703125,31.690011978149414,280.755615234375,22.03499984741211,23.0625,39.205177307128906,66.00399780273438,22.153106689453125,59.80442810058594,48.15592956542969,,70.80999755859375,93.9375,,22.208724975585938,35.58203125,17.616230010986328,28.788000106811523,,,57.93286895751953,71.28580474853516,71.43575286865234,129.31448364257812,316.4800109863281,55.37643814086914,274.7666320800781,193.27000427246094,24.003772735595703,23.14179039001465,16.600797653198242,189.198974609375,25.390304565429688,312.29998779296875,91.6609878540039,42.78017044067383,44.52445602416992,859.77001953125,230.69415283203125,18.020000457763672,33.7529296875,175.42550659179688,12.109000205993652,45.65592575073242,42.73099899291992,8.780549049377441,91.34649658203125,80.37894439697266,17.139999389648438,27.982667922973633,39.97666549682617,60.50613784790039,39.69252014160156,67.30000305175781,107.91804504394531,,155.75306701660156,73.53162384033203,611.8857421875,380.7469787597656,92.88688659667969,67.56941223144531,183.02000427246094,183.6699981689453,95.4704818725586,58.770668029785156,31.826000213623047,134.60000610351562,103.20545196533203,163.96839904785156,284.2699890136719,21.829999923706055,178.8300018310547,54.47132110595703,106.16999816894531
2020-06-03,78.62975311279297,,389.9200134277344,109.4086685180664,132.2024688720703,226.38999938964844,69.65856170654297,54.81951904296875,52.72999954223633,182.5499267578125,123.91999816894531,,,328.1717224121094,26.98244285583496,91.18000030517578,96.3642578125,302.6000061035156,67.602783203125,14.754700660705566,33.208641052246094,92.95999908447266,106.02582550048828,,547.2999877929688,32.0941047668457,280.3442077636719,22.49250030517578,24.524999618530273,39.24697494506836,65.9800033569336,22.91732406616211,63.512298583984375,50.008079528808594,,72.88999938964844,91.46499633789062,,22.767797470092773,37.11890411376953,17.988311767578125,28.577999114990234,,,58.834373474121094,71.1451416015625,71.28418731689453,133.6729278564453,318.0299987792969,55.207069396972656,277.56036376953125,191.48666381835938,24.354507446289062,23.053434371948242,17.421045303344727,195.28060913085938,26.833513259887695,323.739990234375,95.7738037109375,48.0592155456543,44.41361999511719,853.52001953125,228.1564178466797,18.127500534057617,35.069496154785156,175.85240173339844,12.963000297546387,47.703704833984375,42.196998596191406,8.725083351135254,97.73941802978516,80.82555389404297,18.829999923706055,28.06333351135254,38.901668548583984,61.803550720214844,40.34117889404297,68.1500015258789,108.07262420654297,,155.05088806152344,73.64544677734375,598.6309814453125,386.37701416015625,94.13715362548828,69.13312530517578,184.2100067138672,183.4600067138672,96.23111724853516,58.86399841308594,35.49800109863281,129.3000030517578,107.02507781982422,163.77655029296875,277.010009765625,22.270000457763672,181.7100067138672,55.089656829833984,107.41000366210938
2020-06-04,77.95256042480469,,385.79998779296875,110.09231567382812,130.7120361328125,225.1999969482422,67.5845947265625,55.12297058105469,52.630001068115234,182.45082092285156,123.02999877929688,,,334.6253356933594,26.926645278930664,93.33999633789062,94.3843994140625,299.6499938964844,68.2557144165039,14.601441383361816,33.491127014160156,91.2699966430664,107.55510711669922,,540.030029296875,32.086341857910156,284.1018371582031,22.434999465942383,23.9950008392334,39.18008804321289,65.27400207519531,22.723968505859375,63.137054443359375,50.23395538330078,,71.76000213623047,86.2125015258789,,22.237255096435547,37.19692611694336,17.834348678588867,27.916000366210938,,,61.31742858886719,69.94649505615234,70.0484390258789,135.90443420410156,310.0799865722656,56.13417434692383,270.6907043457031,188.0833282470703,24.31172752380371,23.185962677001953,17.443517684936523,194.9778289794922,27.296497344970703,317.4200134277344,100.49057006835938,47.20219039916992,43.731510162353516,839.989990234375,224.3201141357422,17.729999542236328,35.001224517822266,173.53753662109375,12.529999732971191,49.946537017822266,41.43299865722656,8.726078033447266,98.63983154296875,80.55369567871094,18.979999542236328,27.59000015258789,37.78166580200195,61.30773162841797,40.91416549682617,66.2699966430664,107.06649017333984,,152.89492797851562,75.33531951904297,592.9444580078125,387.1180419921875,93.02788543701172,68.40338134765625,182.4499969482422,172.10000610351562,95.24227905273438,57.62533187866211,33.7239990234375,127.58999633789062,108.17769622802734,157.7342529296875,272.82000732421875,23.09000015258789,175.3000030517578,53.61390686035156,103.05000305175781
2020-06-05,80.17276000976562,,392.8999938964844,112.0804443359375,139.56739807128906,233.7100067138672,68.47344970703125,57.07640838623047,53.099998474121094,186.4074249267578,124.1500015258789,,,338.52008056640625,27.640592575073242,92.79000091552734,94.34938049316406,306.7200012207031,70.99746704101562,15.11228084564209,35.29404830932617,91.4000015258789,115.46857452392578,,530.719970703125,32.70802307128906,285.2810363769531,22.954999923706055,23.482500076293945,39.991119384765625,66.69999694824219,23.04315757751465,67.19202423095703,52.23970031738281,,70.66000366210938,91.12249755859375,,23.024511337280273,40.730934143066406,18.244922637939453,28.09600067138672,,,60.69270324707031,71.24470520019531,71.32231140136719,140.66384887695312,311.7099914550781,57.355438232421875,275.6564025878906,197.586669921875,24.542701721191406,24.017980575561523,18.023130416870117,202.97657775878906,28.5199031829834,319.7799987792969,103.50088500976562,48.593746185302734,44.78878402709961,866.9299926757812,228.76112365722656,18.0575008392334,35.001224517822266,177.59805297851562,12.520999908447266,52.38438034057617,41.959999084472656,8.878870964050293,102.48456573486328,82.3449478149414,20.15999984741211,28.18000030517578,38.564998626708984,66.15020751953125,42.135799407958984,69.69999694824219,108.59989166259766,,154.27947998046875,77.53304290771484,591.4189453125,390.5730895996094,96.33687591552734,71.35704803466797,182.97000122070312,174.25999450683594,96.1550521850586,59.04399871826172,35.42900085449219,128.91000366210938,110.58386993408203,159.33592224121094,265.69000244140625,24.780000686645508,178.6699981689453,53.80352020263672,99.30999755859375
2020-06-08,80.64677429199219,,397.7799987792969,111.28882598876953,140.4564208984375,233.50999450683594,70.39527893066406,56.80140686035156,52.970001220703125,186.4735107421875,126.2030029296875,,,330.96728515625,27.678951263427734,97.2699966430664,92.12425231933594,301.260009765625,72.10474395751953,16.227611541748047,36.29104995727539,92.12999725341797,118.18622589111328,,540.3599853515625,33.508426666259766,280.846923828125,22.559999465942383,23.857500076293945,40.2419548034668,68.51499938964844,22.81296730041504,68.36702728271484,52.92634201049805,,76.54000091552734,92.15499877929688,,23.880229949951172,46.66778564453125,18.339017868041992,27.50200080871582,,,60.866676330566406,71.6518325805664,71.71954345703125,142.01498413085938,309.6700134277344,56.758182525634766,280.3829040527344,197.56666564941406,24.320287704467773,25.011980056762695,17.966007232666016,198.5277557373047,27.834306716918945,315.29998779296875,108.4669418334961,47.91786575317383,45.70962142944336,858.8599853515625,229.38563537597656,17.600000381469727,34.084503173828125,178.6985626220703,12.63599967956543,52.364864349365234,41.94900131225586,8.764398574829102,102.73667907714844,81.0051498413086,20.81999969482422,27.98200035095215,39.63166809082031,66.3733139038086,42.611480712890625,68.30999755859375,108.41128540039062,,154.36849975585938,80.0022201538086,598.3932495117188,386.7908020019531,96.60009765625,72.59065246582031,186.82000732421875,175.1999969482422,99.32122802734375,63.327999114990234,35.83100128173828,134.8000030517578,111.77857971191406,162.7311553955078,265.010009765625,26.149999618530273,181.22999572753906,55.19683837890625,102.73999786376953
2020-06-09,83.19342803955078,,397.1600036621094,111.00093078613281,137.4407196044922,234.14999389648438,68.79376220703125,56.69709396362305,56.38999938964844,185.77139282226562,130.04299926757812,,,331.0430908203125,27.487171173095703,100.2699966430664,92.38704681396484,293.739990234375,69.63951110839844,15.895564079284668,34.48813247680664,92.55999755859375,114.61183166503906,,531.5700073242188,32.75464630126953,279.34765625,22.274999618530273,23.475000381469727,40.17506790161133,69.16500091552734,22.607337951660156,66.3500747680664,51.670501708984375,,73.73999786376953,95.125,,23.110082626342773,42.064979553222656,18.330463409423828,27.18400001525879,,,61.356956481933594,72.12486267089844,71.91963195800781,137.8134002685547,303.0,56.19656753540039,278.6607666015625,194.83999633789062,24.234745025634766,24.371402740478516,17.88735580444336,196.509765625,28.277650833129883,316.3999938964844,102.88732147216797,46.70743179321289,45.146888732910156,866.4299926757812,236.59231567382812,17.607500076293945,34.29905700683594,180.064697265625,12.567999839782715,51.82854080200195,43.404998779296875,9.004288673400879,100.40463256835938,79.55370330810547,20.170000076293945,28.215999603271484,38.926666259765625,64.31568908691406,42.67634963989258,69.37999725341797,109.03449249267578,,155.1300048828125,78.5837631225586,602.9005737304688,387.01220703125,95.50022888183594,71.5568618774414,189.6199951171875,173.5399932861328,98.11372375488281,62.711334228515625,36.29800033569336,134.41000366210938,111.15597534179688,162.40509033203125,270.8500061035156,23.8799991607666,179.75999450683594,54.71867370605469,103.58999633789062
2020-06-10,85.33380126953125,,406.82000732421875,110.5421371459961,136.00259399414062,236.58999633789062,68.36134338378906,56.76347732543945,57.439998626708984,187.60513305664062,132.37249755859375,,,329.7069396972656,27.46276092529297,103.25,93.98143768310547,295.25,67.89026641845703,14.695097923278809,33.39142990112305,93.19000244140625,112.12448120117188,,533.8099975585938,32.14073944091797,280.97503662109375,22.350000381469727,24.30500030517578,39.64830780029297,69.65899658203125,22.49378204345703,65.24077606201172,51.97768020629883,,78.26000213623047,96.2925033569336,,22.819135665893555,39.13946533203125,18.172212600708008,27.527999877929688,,,60.94575881958008,72.60481262207031,72.54469299316406,134.34413146972656,321.8900146484375,56.93647766113281,283.0810241699219,195.1266632080078,24.380165100097656,23.929624557495117,18.0502872467041,195.71173095703125,28.18130874633789,323.25,98.38145446777344,46.09780502319336,45.28330612182617,886.780029296875,234.6692352294922,17.610000610351562,34.19179153442383,186.74359130859375,12.392000198364258,51.16545104980469,43.448001861572266,9.323558807373047,99.30612182617188,80.24788665771484,19.459999084472656,27.76533317565918,38.779998779296875,63.86945343017578,41.5141716003418,72.80000305175781,109.98567199707031,,158.14637756347656,79.68696594238281,600.9192504882812,386.13641357421875,94.04315948486328,68.6379623413086,189.4199981689453,180.02999877929688,100.58582305908203,68.336669921875,36.85200119018555,137.30999755859375,110.55025482177734,164.2369384765625,274.3399963378906,23.170000076293945,183.0500030517578,55.18035125732422,105.72000122070312
2020-06-11,81.23687744140625,,387.6700134277344,104.0380630493164,125.3594741821289,219.10000610351562,65.4705810546875,52.543670654296875,52.83000183105469,180.81527709960938,127.89800262451172,,,315.4637145996094,25.606861114501953,90.01000213623047,90.3546371459961,283.2200012207031,62.2132682800293,13.30732250213623,31.17308235168457,88.41000366210938,101.83417510986328,,517.1699829101562,30.501068115234375,275.0323181152344,21.149999618530273,23.760000228881836,36.51289749145508,65.71399688720703,20.959203720092773,61.9151725769043,48.48118591308594,,76.05000305175781,90.67749786376953,,21.706707000732422,34.60687255859375,17.381004333496094,26.34600067138672,,,58.11347961425781,69.53339385986328,69.43429565429688,125.03450012207031,298.80999755859375,53.219146728515625,265.85906982421875,182.61000061035156,24.243297576904297,22.957712173461914,16.908857345581055,182.6404266357422,26.416351318359375,308.1199951171875,87.6632308959961,43.049644470214844,43.0835075378418,855.0,222.47630310058594,16.950000762939453,32.49489212036133,176.7157745361328,11.734000205993652,47.313655853271484,42.555999755859375,8.75568962097168,92.26493072509766,76.33525848388672,18.1299991607666,27.261333465576172,36.98666763305664,59.96074295043945,39.23305130004883,71.51000213623047,104.82791137695312,,151.3521270751953,73.56666564941406,590.5867919921875,377.5517578125,88.7130355834961,63.0433349609375,179.52000427246094,173.5,95.92686462402344,64.85600280761719,34.75400161743164,134.9199981689453,104.83763885498047,156.03659057617188,263.8900146484375,22.34000015258789,173.5,53.65511703491211,102.68000030517578
2020-06-12,81.938232421875,,406.5400085449219,106.52095794677734,128.8837432861328,222.9600067138672,65.5025863647461,53.62470626831055,53.5,179.98924255371094,127.2509994506836,,,325.1108703613281,26.173480987548828,94.08999633789062,90.1794204711914,279.2699890136719,63.605682373046875,13.571255683898926,31.696516036987305,89.45999908447266,105.1137924194336,,522.5700073242188,30.66425132751465,273.0850830078125,21.260000228881836,23.280000686645508,37.68345642089844,66.80899810791016,21.35205841064453,62.43113708496094,49.51115798950195,,78.05000305175781,92.55750274658203,,21.626840591430664,36.635231018066406,17.13294792175293,26.06800079345703,,,58.400699615478516,69.99601745605469,69.98008728027344,125.96723937988281,302.8299865722656,52.88931655883789,268.54754638671875,186.1366729736328,24.055097579956055,23.414216995239258,17.293704986572266,185.236328125,26.611841201782227,296.3599853515625,88.44935607910156,44.01268768310547,43.25404739379883,896.4299926757812,226.5902099609375,17.075000762939453,32.89472198486328,178.11038208007812,11.802000045776367,47.47943115234375,41.80699920654297,8.891310691833496,95.94755554199219,76.64107513427734,18.989999771118164,27.356666564941406,36.974998474121094,60.952392578125,39.55197525024414,73.11000061035156,105.77910614013672,,153.5476531982422,74.63485717773438,582.8894653320312,375.15533447265625,86.93634033203125,66.35318756103516,179.60000610351562,171.6199951171875,97.2770004272461,62.35200119018555,35.45100021362305,134.0,104.29918670654297,156.27676391601562,268.55999755859375,22.06999969482422,173.5500030517578,52.825191497802734,102.47000122070312
